timestamp,pod,cpu_m,mem_mi
1788204230,gw-nginx-554c75559c-97p9m,7,7
1788204230,s0-7858bb7b56-4c22f,120,142
1788204230,s1-7d66c7d4c5-97jlk,114,142
1788204230,s2-5f46b67bc6-pswkd,190,123
1788204230,s3-79b96b87f7-8n5lq,52,135
1788204235,gw-nginx-554c75559c-97p9m,7,7
1788204235,s0-7858bb7b56-4c22f,120,142
1788204235,s1-7d66c7d4c5-97jlk,114,142
1788204235,s2-5f46b67bc6-pswkd,190,123
1788204235,s3-79b96b87f7-8n5lq,52,135
1788204240,gw-nginx-554c75559c-97p9m,7,7
1788204240,s0-7858bb7b56-4c22f,120,142
1788204240,s1-7d66c7d4c5-97jlk,114,142
1788204240,s2-5f46b67bc6-pswkd,190,123
1788204240,s3-79b96b87f7-8n5lq,52,135
1788204245,gw-nginx-554c75559c-97p9m,7,8
1788204245,s0-7858bb7b56-4c22f,119,142
1788204245,s1-7d66c7d4c5-97jlk,95,142
1788204245,s2-5f46b67bc6-pswkd,176,123
1788204245,s3-79b96b87f7-8n5lq,52,135
1788204250,gw-nginx-554c75559c-97p9m,7,8
1788204250,s0-7858bb7b56-4c22f,119,142
1788204250,s1-7d66c7d4c5-97jlk,95,142
1788204250,s2-5f46b67bc6-pswkd,176,123
1788204250,s3-79b96b87f7-8n5lq,52,135
1788204255,gw-nginx-554c75559c-97p9m,7,8
1788204255,s0-7858bb7b56-4c22f,119,142
1788204255,s1-7d66c7d4c5-97jlk,95,142
1788204255,s2-5f46b67bc6-pswkd,176,123
1788204255,s3-79b96b87f7-8n5lq,52,135
1788204260,gw-nginx-554c75559c-97p9m,8,8
1788204260,s0-7858bb7b56-4c22f,124,142
1788204260,s1-7d66c7d4c5-97jlk,102,142
1788204260,s2-5f46b67bc6-pswkd,134,124
1788204260,s3-79b96b87f7-8n5lq,56,135
1788204265,gw-nginx-554c75559c-97p9m,8,8
1788204265,s0-7858bb7b56-4c22f,124,142
1788204265,s1-7d66c7d4c5-97jlk,102,142
1788204265,s2-5f46b67bc6-pswkd,134,124
1788204265,s3-79b96b87f7-8n5lq,56,135
1788204270,gw-nginx-554c75559c-97p9m,8,8
1788204270,s0-7858bb7b56-4c22f,124,142
1788204270,s1-7d66c7d4c5-97jlk,102,142
1788204270,s2-5f46b67bc6-pswkd,134,124
1788204270,s3-79b96b87f7-8n5lq,56,135
1788204276,gw-nginx-554c75559c-97p9m,8,7
1788204276,s0-7858bb7b56-4c22f,132,142
1788204276,s1-7d66c7d4c5-97jlk,107,142
1788204276,s2-5f46b67bc6-pswkd,178,124
1788204276,s3-79b96b87f7-8n5lq,56,135
1788204281,gw-nginx-554c75559c-97p9m,8,7
1788204281,s0-7858bb7b56-4c22f,132,142
1788204281,s1-7d66c7d4c5-97jlk,107,142
1788204281,s2-5f46b67bc6-pswkd,178,124
1788204281,s3-79b96b87f7-8n5lq,56,135
1788204286,gw-nginx-554c75559c-97p9m,8,7
1788204286,s0-7858bb7b56-4c22f,132,142
1788204286,s1-7d66c7d4c5-97jlk,107,142
1788204286,s2-5f46b67bc6-pswkd,178,124
1788204286,s3-79b96b87f7-8n5lq,56,135
1788204291,gw-nginx-554c75559c-97p9m,8,7
1788204291,s0-7858bb7b56-4c22f,142,143
1788204291,s1-7d66c7d4c5-97jlk,113,143
1788204291,s2-5f46b67bc6-pswkd,178,124
1788204291,s3-79b96b87f7-8n5lq,60,135
1788204296,gw-nginx-554c75559c-97p9m,8,7
1788204296,s0-7858bb7b56-4c22f,142,143
1788204296,s1-7d66c7d4c5-97jlk,113,143
1788204296,s2-5f46b67bc6-pswkd,178,124
1788204296,s3-79b96b87f7-8n5lq,60,135
1788204301,gw-nginx-554c75559c-97p9m,8,7
1788204301,s0-7858bb7b56-4c22f,142,143
1788204301,s1-7d66c7d4c5-97jlk,113,143
1788204301,s2-5f46b67bc6-pswkd,178,124
1788204301,s3-79b96b87f7-8n5lq,60,135
1788204306,gw-nginx-554c75559c-97p9m,8,8
1788204306,s0-7858bb7b56-4c22f,135,143
1788204306,s1-7d66c7d4c5-97jlk,113,143
1788204306,s2-5f46b67bc6-pswkd,157,124
1788204306,s3-79b96b87f7-8n5lq,60,136
1788204311,gw-nginx-554c75559c-97p9m,8,8
1788204311,s0-7858bb7b56-4c22f,135,143
1788204311,s1-7d66c7d4c5-97jlk,113,143
1788204311,s2-5f46b67bc6-pswkd,157,124
1788204311,s3-79b96b87f7-8n5lq,60,136
1788204316,gw-nginx-554c75559c-97p9m,8,8
1788204316,s0-7858bb7b56-4c22f,135,143
1788204316,s1-7d66c7d4c5-97jlk,113,143
1788204316,s2-5f46b67bc6-pswkd,157,124
1788204316,s3-79b96b87f7-8n5lq,60,136
1788204321,gw-nginx-554c75559c-97p9m,8,8
1788204321,s0-7858bb7b56-4c22f,129,142
1788204321,s1-7d66c7d4c5-97jlk,110,142
